,Region,Species in Data,Species in Underlying Population,Species in Data_prediction,Species in Data_residuals,Species in Data_highlight_high,Species in Data_highlight_low,R2
178,AGW,18,5407,31.228495324640996,-13.228495324640996,False,False,0.3976118323562753
34,MOZ,56,5497,31.557397619669675,24.442602380330325,False,False,0.3976118323562753
9,YUG,71,5502,31.57566996939349,39.42433003060651,True,False,0.3976118323562753
157,JAP,22,5509,31.601251259006833,-9.601251259006833,False,False,0.3976118323562753
103,CHN,35,5599,31.930153554035513,3.0698464459644867,False,False,0.3976118323562753
36,TCS,56,5648,32.10922258132891,23.890777418671092,False,False,0.3976118323562753
20,WHM,63,5732,32.416198056689005,30.583801943310995,False,False,0.3976118323562753
231,CAL,7,5785,32.609884963761445,-25.609884963761445,False,False,0.3976118323562753
114,NIC,32,5892,33.0009132478511,-1.000913247851102,False,False,0.3976118323562753
201,NSW,12,6071,33.65506336796369,-21.65506336796369,False,False,0.3976118323562753
31,ITA,57,6141,33.91087626409711,23.089123735902888,False,False,0.3976118323562753
177,CUB,18,6155,33.962038843323796,-15.962038843323796,False,False,0.3976118323562753
42,ZAM,53,6209,34.159380220341,18.840619779659,False,False,0.3976118323562753
17,ANG,65,6216,34.18496150995434,30.81503849004566,False,False,0.3976118323562753
16,NEP,65,6262,34.35306712741344,30.64693287258656,False,False,0.3976118323562753
143,GUY,27,6369,34.744095411503096,-7.744095411503096,False,False,0.3976118323562753
32,KEN,57,6411,34.89758314918315,22.10241685081685,False,False,0.3976118323562753
13,ASS,68,6514,35.273993553493746,32.726006446506254,False,False,0.3976118323562753
33,FRA,57,6538,35.361700832168054,21.638299167831946,False,False,0.3976118323562753
90,HON,37,6712,35.99757860255684,1.0024213974431575,False,False,0.3976118323562753
38,SPA,55,7045,37.21451709416295,17.78548290583705,False,False,0.3976118323562753
134,MXN,28,7047,37.22182603405247,-9.22182603405247,False,False,0.3976118323562753
14,CMN,67,7116,37.47398446024113,29.526015539758873,False,False,0.3976118323562753
126,CHT,29,7165,37.65305348753452,-8.653053487534521,False,False,0.3976118323562753
108,SUM,33,7523,38.96135372775971,-5.9613537277597075,False,False,0.3976118323562753
107,MXC,34,7540,39.02347971682068,-5.023479716820681,False,False,0.3976118323562753
96,MXG,36,7912,40.38294253627255,-4.382942536272552,False,False,0.3976118323562753
12,EHM,69,8099,41.06632841594325,27.933671584056754,False,False,0.3976118323562753
1,IND,87,8108,41.099218645446115,45.900781354553885,True,False,0.3976118323562753
7,IRN,72,8312,41.84473051417779,30.15526948582221,False,False,0.3976118323562753
102,GUA,35,8358,42.01283613163689,-7.012836131636888,False,False,0.3976118323562753
150,QLD,24,8395,42.148051519593125,-18.148051519593125,False,False,0.3976118323562753
61,BZS,45,8613,42.944725967551484,2.0552740324485157,False,False,0.3976118323562753
60,MLY,45,8900,43.99355884169849,1.006441158301513,False,False,0.3976118323562753
82,MXT,39,9348,45.630761376952364,-6.630761376952364,False,False,0.3976118323562753
93,PHI,37,9424,45.90850109275435,-8.90850109275435,False,False,0.3976118323562753
8,ZAI,72,9527,46.284911497064954,25.715088502935046,False,False,0.3976118323562753
5,MYA,77,9666,46.79288281938702,30.207117180612983,False,False,0.3976118323562753
18,TAN,64,9749,47.09620382480236,16.90379617519764,False,False,0.3976118323562753
35,BZC,56,9971,47.907496152539764,8.092503847460236,False,False,0.3976118323562753
106,PAN,35,10198,48.737060830000985,-13.737060830000985,False,False,0.3976118323562753
4,TUR,77,10199,48.74071529994575,28.259284700054252,False,False,0.3976118323562753
194,WAU,14,10781,50.86761680779787,-36.86761680779787,False,True,0.3976118323562753
117,COS,31,10799,50.93339726680361,-19.93339726680361,False,False,0.3976118323562753
3,THA,77,11288,52.72043306979276,24.27956693020724,False,False,0.3976118323562753
110,MXE,33,11401,53.133388173551,-20.133388173550998,False,False,0.3976118323562753
24,BZE,60,11594,53.83870087289027,6.161299127109729,False,False,0.3976118323562753
6,CHS,76,11729,54.3320543154333,21.667945684566703,False,False,0.3976118323562753
141,MDG,27,11859,54.80713540825249,-27.807135408252492,False,False,0.3976118323562753
2,VIE,82,11993,55.296834380850754,26.703165619149246,False,False,0.3976118323562753
111,BOR,33,12056,55.52706598737082,-22.52706598737082,False,False,0.3976118323562753
112,NWG,33,13473,60.70544989910013,-27.70544989910013,False,False,0.3976118323562753
37,BZN,56,13576,61.08186030341072,-5.081860303410721,False,False,0.3976118323562753
78,MXS,39,14194,63.34032272927432,-24.34032272927432,False,False,0.3976118323562753
23,BOL,60,14896,65.90576063049801,-5.905760630498008,False,False,0.3976118323562753
56,CPP,47,15865,69.44694200697346,-22.446942006973458,False,False,0.3976118323562753
59,VEN,46,16340,71.18281523073593,-25.182815230735926,False,False,0.3976118323562753
22,BZL,61,18428,78.81334847540127,-17.81334847540127,False,False,0.3976118323562753
92,ECU,37,18482,79.01068985241847,-42.010689852418466,False,True,0.3976118323562753
0,CHC,100,20482,86.31962974194467,13.680370258055333,False,False,0.3976118323562753
66,PER,43,20876,87.75949090018132,-44.75949090018132,False,True,0.3976118323562753
63,CLM,44,25181,103.49198401238645,-59.49198401238645,False,True,0.3976118323562753
