,accepted_species,native_tdwg3_codes
30561,Microgramma percussa,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')"
30564,Cuatresia riparia,"('CLM', 'COS', 'ECU', 'GUA', 'PAN', 'VEN')"
30573,Chomelia ecuadorensis,"('CLM', 'ECU')"
30574,Serpocaulon ptilorhizon,"('CLM', 'COS', 'NIC', 'PAN')"
30585,Eragrostis acutiflora,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'LEE', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN', 'WIN')"
30608,Pristimera tenuiflora,"('BZN', 'CLM', 'COS', 'FRG', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')"
30614,Borismene japurensis,"('BOL', 'BZE', 'BZL', 'BZN', 'CLM', 'ECU', 'PER', 'VEN')"
30639,Ruehssia asplundii,"('CLM', 'ECU', 'PER')"
30641,Pentacalia hachana,"('CLM',)"
30689,Machaerium inundatum,"('BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'ELS', 'FRG', 'GUY', 'MXG', 'MXT', 'PER', 'SUR', 'VEN')"
30691,Senega savannarum,"('CLM', 'GUY', 'VEN')"
30693,Hemionitis lendigera,"('ARI', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'TEX', 'VEN')"
30724,Pachylecythis pisonis,"('BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'PER')"
30729,Senna viarum,"('CLM', 'ECU')"
30737,Pseudima frutescens,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'FRG', 'GUY', 'PAN', 'PER', 'SUR')"
30739,Senega boliviensis,"('AGW', 'BOL', 'BZE', 'CLM', 'PER', 'VEN')"
30740,Ocotea alnifolia,"('CLM', 'ECU', 'PER', 'VEN')"
30763,Vailia salicina,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
30773,Vailia colombiana,"('CLM',)"
30789,Senna pendula,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'GUA', 'HAI', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'PUE', 'TRT', 'URU', 'VEN')"
30815,Stephanopodium angulatum,"('CLM', 'ECU')"
30832,Psidium acidum,"('BOL', 'BZE', 'BZN', 'CLM', 'ECU', 'PER')"
30847,Coleataenia caricoides,"('BLZ', 'BOL', 'CLM', 'COS', 'CUB', 'FRG', 'GUY', 'HON', 'MXT', 'NIC', 'PAN', 'SUR', 'TRT', 'VEN')"
30860,Dacryodes cuspidata,"('BZN', 'CLM', 'FRG', 'VEN')"
30876,Karma tenuis,"('BOL', 'CLM', 'ECU', 'PER')"
30885,Siphanthera fasciculata,"('BZN', 'CLM', 'VEN')"
30891,Stelis erucosa,"('CLM',)"
30895,Andinia ursula,"('CLM',)"
30902,Stelis oblonga,"('CLM', 'ECU', 'PER', 'VEN')"
30915,Stelis rictoria,"('CLM',)"
30916,Andinia hippocrepica,"('CLM', 'ECU')"
30918,Magnolia hernandezii,"('CLM',)"
30921,Stenostephanus diversicolor,"('CLM', 'VEN')"
30927,Billia rosea,"('CLM', 'COS', 'ECU', 'HON', 'PAN', 'VEN')"
30930,Adelobotrys intonsus,"('CLM',)"
30931,Meriania hoyosii,"('CLM',)"
30935,Neltuma pallida,"('BOL', 'CLM', 'ECU', 'GAL', 'PER')"
30962,Magnolia mahechae,"('CLM',)"
30963,Prestonia annularis,"('BOL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'TRT', 'VEN')"
30980,Tassadia decalepis,"('BOL', 'BZE', 'BZN', 'CLM', 'ECU', 'GUY', 'PER', 'VEN')"
31006,Pseudelephantopus spiralis,"('AGW', 'BOL', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'PAN', 'PER', 'PUE', 'TRT', 'VEN', 'WIN')"
31017,Uniostium velutinifolium,"('BZN', 'CLM', 'GUY', 'NLA', 'VEN')"
31030,Lockhartia imbricata,"('BOL', 'BZC', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'SUR', 'TRT', 'VEN')"
31031,Specklinia calderae,"('CLM',)"
31046,Mandevilla symphitocarpa,"('BOL', 'BZC', 'BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'TRT', 'VEN')"
31059,Racinaea almeriae,"('CLM',)"
31060,Lozanella enantiophylla,"('BOL', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'PAN', 'PER', 'VEN')"
31061,Epidendrum dugandianum,"('CLM',)"
31086,Epidendrum camargoi,"('CLM',)"
31098,Epidendrum glabrilabium,"('CLM',)"
31104,Zeugites sylvaticus,"('CLM', 'PAN')"
31117,Bacopa egensis,"('BZC', 'BZN', 'CAF', 'CLM', 'CMN', 'CON', 'COS', 'ECU', 'GAB', 'HON', 'MXT', 'NGA', 'NIC', 'PAN', 'SEN', 'SUR', 'VEN', 'ZAI')"
31120,Semialarium paniculatum,"('BZC', 'BZE', 'BZL', 'BZS', 'CLM', 'PAR')"
31126,Zygia claviflora,"('BZN', 'CLM', 'VEN')"
31151,Zygia coccinea,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
31165,Siparuna laurifolia,"('CLM', 'ECU', 'PER')"
31168,Siparuna poeppigii,"('BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR')"
31211,Linaria canadensis,"('AGE', 'AGS', 'AGW', 'ALA', 'ARK', 'BOL', 'BRC', 'CAL', 'CLM', 'CNT', 'DEL', 'DOM', 'ECU', 'FLA', 'GEO', 'ILL', 'INI', 'IOW', 'KAN', 'LOU', 'MAI', 'MAS', 'MIC', 'MIN', 'MNT', 'MRY', 'MSI', 'MSO', 'MXC', 'MXE', 'MXG', 'MXI', 'MXN', 'MXS', 'NBR', 'NCA', 'NDA', 'NEB', 'NSC', 'NWH', 'NWJ', 'NWY', 'OHI', 'OKL', 'ONT', 'PEI', 'PEN', 'PER', 'QUE', 'RHO', 'SCA', 'SDA', 'TEN', 'TEX', 'URU', 'VEN', 'VER', 'VRG', 'WAS', 'WDC', 'WIS', 'WVA')"
31233,Soliva anthemifolia,"('AGE', 'AGW', 'BZL', 'BZS', 'CLM', 'PAR', 'URU', 'VEN')"
31240,Besleria hirsuta,"('CLM', 'COS', 'ELS', 'HON', 'MXC', 'MXS', 'MXT', 'PAN')"
31249,Lucilia kunthiana,"('AGW', 'BOL', 'CLM', 'ECU', 'PER', 'VEN')"
31264,Spongiosperma macrophyllum,"('BZN', 'CLM', 'VEN')"
31302,Scottmoria brevipetiolata,"('CLM',)"
31310,Scottmoria ovalifolia,"('BOL', 'BZN', 'CLM', 'PER')"
31314,Ouratea magdalenae,"('CLM',)"
31355,Centropogon caoutchouc,"('CLM', 'ECU', 'PER')"
31367,Ouratea guildingii,"('CLM', 'GUY', 'LEE', 'TRT', 'VEN', 'VNA', 'WIN')"
31399,Moquilea subarachnophylla,"('CLM', 'VEN')"
31406,Stenandrium nephoica,"('CLM',)"
31410,Clitoria guianensis,"('AGE', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'PAN', 'PAR', 'SUR', 'VEN')"
31441,Pachira faroensis,"('BZN', 'CLM', 'VEN')"
31484,Psammisia coarctata,"('BOL', 'BZN', 'CLM', 'ECU', 'GUY', 'PER', 'VEN')"
31521,Capirona macrophylla,"('BOL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
31586,Pseudosenefeldera inclinata,"('BZN', 'CLM', 'ECU', 'PAN', 'PER', 'VEN')"
31601,Compsoneura capitellata,"('BZN', 'CLM', 'ECU', 'PAN', 'PER')"
31613,Thelypteris macrophylla,"('BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'TRT', 'VEN')"
31636,Bauhinia petiolata,"('CLM', 'COS', 'PAN', 'VEN')"
31640,Neonelsonia acuminata,"('CLM', 'COS', 'ECU', 'GUA', 'MXS', 'MXT', 'PAN', 'PER', 'VEN')"
31653,Mickelia nicotianifolia,"('BOL', 'BZN', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'JAM', 'LEE', 'NIC', 'PAN', 'PER', 'PUE', 'SUR', 'TRT', 'VEN', 'WIN')"
31654,Allosidastrum pyramidatum,"('BLZ', 'BOL', 'BZC', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'GUA', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PUE', 'SUR', 'VEN', 'WIN')"
31658,Senna caudata,"('CLM', 'COS', 'PAN')"
31663,Palmorchis puber,"('BZN', 'CLM', 'VEN')"
31672,Allosidastrum interruptum,"('CLM', 'COS', 'MXS', 'NIC')"
31744,Acaulimalva purdiaei,"('CLM', 'VEN')"
31745,Hemionitis eriophora,"('BZN', 'CLM', 'VEN')"
31765,Karma hypocrita,"('CLM', 'VEN')"
31819,Faramea suerrensis,"('CLM', 'COS', 'NIC', 'PAN')"
31823,Iriartella setigera,"('BZN', 'CLM', 'GUY', 'VEN')"
31829,Pecluma bourgeauana,"('CLM', 'COS', 'CUB', 'FLA', 'FRG', 'GUA', 'HON', 'JAM', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PUE', 'SUR', 'TRT')"
31830,Pleopeltis remota,"('BOL', 'CLM', 'COS', 'DOM', 'ECU', 'GUA', 'HAI', 'HON', 'JAM', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
31831,Coleataenia scabrida,"('BOL', 'BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'VEN')"
31853,Siphanthera gracillima,"('BZC', 'BZL', 'CLM')"
31862,Stelis imraei,"('BZN', 'CLM', 'COS', 'ECU', 'GUY', 'LEE', 'PAN', 'PER', 'SUR', 'VEN', 'WIN')"
31875,Trichocentrum × haematochilum,"('CLM',)"
31876,Acianthera ciliata,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUY', 'HON', 'PER', 'SUR', 'TRT', 'VEN')"
31886,Stelis deuterodewildei,"('CLM',)"
31909,Stenostephanus magdalenensis,"('CLM',)"
31916,Andinia dactyla,"('CLM', 'VEN')"
31936,Stelis vallecaucana,"('CLM',)"
31938,Trichocentrum aguirrei,"('CLM',)"
31953,Kohleria inaequalis,"('CLM', 'ECU')"
31970,Specklinia grobyi,"('BLZ', 'BOL', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')"
31976,Epidendrum coryophorum,"('CLM', 'ECU')"
31984,Syngonium crassifolium,"('CLM', 'ECU', 'VEN')"
31988,Cavendishia nitida,"('CLM',)"
31996,Mandevilla villosa,"('CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXT', 'NIC', 'PAN', 'VEN')"
32006,Selaginella geniculata,"('CLM', 'ECU', 'PAN', 'PER')"
32010,Kohleria trianae,"('CLM',)"
32017,Epidendrum neofuchsii,"('CLM',)"
32024,Racinaea venusta,"('CLM', 'COS', 'ECU')"
32028,Megalastrum villosum,"('CLM', 'DOM', 'HAI', 'JAM', 'WIN')"
32039,Selaginella articulata,"('CLM', 'ECU', 'HON', 'PAN', 'PER')"
32041,Mandevilla moritziana,"('CLM', 'VEN')"
32061,Cayaponia bidentata,"('CLM', 'PAN')"
32066,Racinaea membranacifolia,"('CLM',)"
32073,Trichanthecium orinocanum,"('BZN', 'CLM', 'VEN')"
32082,Hydrocharis laevigata,"('AGE', 'AGW', 'BOL', 'BZN', 'CLC', 'CLM', 'CLS', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'GUA', 'HAI', 'LEE', 'MXC', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'PUE', 'TRT', 'URU', 'VEN', 'WIN')"
32105,Comparettia micrantha,"('BOL', 'CLM', 'ECU', 'PER')"
32108,Gymnopogon spicatus,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'GUA', 'GUY', 'HON', 'MXG', 'MXT', 'PAR', 'TRT', 'URU', 'VEN')"
32114,Scrobicaria ilicifolia,"('CLM',)"
32131,Souroubea crassipes,"('CLM', 'PER', 'VEN')"
32151,Lozania klugii,"('BZN', 'CLM', 'ECU', 'PER')"
32157,Comparettia ottonis,"('CLM', 'VEN')"
32158,Comparettia palatina,"('CLM',)"
32168,Chusquea fimbriligulata,"('CLM', 'ECU', 'PER')"
32188,Chusquea stuebelii,"('CLM', 'ECU')"
32239,Wissadula excelsior,"('AGE', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'CUB', 'ECU', 'ELS', 'GUA', 'GUY', 'HON', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'VEN')"
32252,Ouratea orbignyana,"('BOL', 'BZN', 'CLM', 'PER')"
32258,Centropogon grandis,"('CLM',)"
32281,Azorella multifida,"('BOL', 'CLM', 'ECU', 'PER', 'VEN')"
32288,Scottmoria silverstonei,"('CLM',)"
32290,Scottmoria amplexifolia,"('CLM', 'COS', 'PAN')"
32302,Xylosma intermedia,"('BLZ', 'BOL', 'BZN', 'CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXC', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
32305,Aechmea bromeliifolia,"('AGE', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'MXT', 'NIC', 'PAR', 'PER', 'SUR', 'TRT', 'VEN')"
32339,Satyria panurensis,"('BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
32340,Xylosma elegans,"('CLM', 'VEN')"
32365,Gasteranthus calcaratus,"('CLM', 'ECU', 'PER')"
32413,Gasteranthus pansamalanus,"('CLM', 'ECU', 'GUA', 'MXT')"
32415,Pithecellobium lanceolatum,"('BLZ', 'CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'SWC', 'VEN', 'VNA')"
32443,Tromlyca locellata,"('CLM',)"
32478,Psammisia macrophylla,"('CLM',)"
32480,Sporobolus pyramidatus,"('AGE', 'AGW', 'ARI', 'ARK', 'ARU', 'BAH', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CAY', 'CLM', 'COL', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FLA', 'FRG', 'GAL', 'GUA', 'HAI', 'HON', 'ILL', 'JAM', 'KAN', 'LEE', 'LOU', 'MRY', 'MSO', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NEB', 'NIC', 'NLA', 'NWM', 'OKL', 'PAN', 'PAR', 'PER', 'PUE', 'SUR', 'TCI', 'TEX', 'TRT', 'URU', 'UTA', 'VEN', 'VNA', 'WIN')"
32486,Pseudobombax septenatum,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'ELS', 'NIC', 'PAN', 'PER', 'VEN')"
32514,Thelypteris nesiotica,"('BOL', 'BZC', 'BZN', 'CLM', 'ECU', 'GUY', 'PER', 'TRT', 'VEN')"
32522,Jaltomata auriculata,"('BOL', 'CLM', 'ECU', 'VEN')"
32523,Thelypteris gracilis,"('CLM', 'COS', 'JAM', 'LEE', 'VEN', 'WIN')"
32542,Thelypteris abrupta,"('BOL', 'BZE', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'JAM', 'LEE', 'NIC', 'PER', 'PUE', 'SUR', 'TRT', 'VEN', 'WIN')"
32566,Dichorisandra hexandra,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'LEE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'TRT', 'VEN', 'VNA')"
32576,Dysopsis paucidentata,"('CLM', 'COS', 'ECU', 'PAN', 'PER', 'VEN')"
32602,Scaphyglottis modesta,"('BOL', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'FRG', 'GUY', 'LEE', 'PAN', 'PUE', 'SUR', 'TRT', 'VEN', 'WIN')"
32647,Encyclia aspera,"('CLM', 'ECU', 'PER')"
32699,Elaphoglossum raywaense,"('BOL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
32708,Elaphoglossum petiolosum,"('BOL', 'CLM', 'CPI', 'ECU', 'PER')"
32717,Casearia euceraea,"('BZN', 'CLM', 'GUY', 'PER', 'SUR', 'VEN')"
32719,Elaphoglossum patinii,"('CLM', 'PER')"
32721,Maxillaria quitensis,"('BOL', 'CLM', 'ECU', 'PER')"
32769,Nidema ottonis,"('BAH', 'BOL', 'BZN', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'GUY', 'HAI', 'HON', 'JAM', 'NIC', 'PAN', 'PER', 'PUE', 'TRT', 'VEN')"
32775,Blechnum loxense,"('BOL', 'CLM', 'COS', 'ECU', 'PAN', 'PER', 'VEN')"
32776,Sauvagesia ramosa,"('BZN', 'CLM', 'VEN')"
32778,Axonopus purpusii,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'FRG', 'GUA', 'GUY', 'HON', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'SUR', 'URU', 'VEN')"
32787,Elaphoglossum burchellii,"('AGE', 'BOL', 'BZL', 'BZS', 'CLM', 'PAR', 'VEN')"
32790,Huberodendron swietenioides,"('BOL', 'BZC', 'BZN', 'CLM', 'FRG', 'PER')"
32805,Marcgraviastrum sodiroi,"('CLM', 'ECU')"
32841,Justicia pilosa,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
32849,Lachnostoma magdalenicum,"('CLM',)"
32875,Leptobalanus wurdackii,"('BZN', 'CLM', 'VEN')"
32890,Palicourea woronovii,"('BZN', 'CLM', 'ECU', 'PER', 'VEN')"
32918,Ronabea emetica,"('BOL', 'CLM', 'COS', 'ECU', 'HON', 'NIC', 'PAN', 'PER', 'VEN')"
32932,Palicourea aubletii,"('BOL', 'BZC', 'BZN', 'CLM', 'FRG', 'GUY', 'PAN', 'PER', 'SUR', 'VEN')"
32935,Maracanthus chlamydatus,"('CLM', 'VEN')"
32936,Mansoa hymenaea,"('BLZ', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'ELS', 'FRG', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'VEN', 'WIN')"
32973,Platystele lancilabris,"('CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HON', 'NIC', 'PAN', 'PER', 'VEN')"
32983,Hiraea fagifolia,"('AGE', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'TRT', 'VEN')"
32987,Sciadotenia nitida,"('CLM', 'PAN')"
32990,Drymonia pendula,"('BZN', 'CLM', 'ECU', 'PER')"
33003,Episcia cupreata,"('BZN', 'CLM', 'COS', 'ECU', 'NIC', 'PAN', 'VEN')"
33028,Linochilus saxatilis,"('CLM',)"
33053,Espeletia laxiflora,"('CLM',)"
33056,Linochilus coriaceus,"('CLM',)"
33087,Obtegomeria caerulescens,"('CLM',)"
33103,Vismia tenuinervia,"('BOL', 'BZN', 'CLM', 'VEN')"
33114,Lagenocarpus lanatus,"('CLM', 'VEN')"
33118,Oncidium adamsii,"('CLM', 'ECU')"
33166,Citronella costaricensis,"('CLM', 'COS', 'PAN', 'PER', 'VEN')"
33179,Oncidium vallecaucanum,"('CLM',)"
33190,Oncidium amazonicum,"('BOL', 'BZN', 'CLM', 'ECU', 'FRG', 'PER', 'SUR', 'VEN')"
33193,Endlicheria reflectens,"('BZN', 'CLM', 'GUY', 'VEN')"
33211,Cyathea microdonta,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'JAM', 'MXG', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
33237,Anthurium panduriforme,"('CLM', 'COS', 'ECU', 'PAN')"
33250,Lyroglossa grisebachii,"('BZC', 'BZL', 'BZS', 'CLM', 'FRG', 'GUY', 'PAR', 'SUR', 'TRT', 'VEN')"
33251,Crossoglossa exigua,"('CLM',)"
33264,Sciodaphyllum magnifolium,"('CLM', 'ECU')"
33300,Dichanthelium sphaerocarpon,"('ALA', 'ARK', 'BLZ', 'BZL', 'CLM', 'CNT', 'COS', 'CUB', 'DEL', 'ECU', 'ELS', 'FLA', 'GEO', 'GUA', 'HON', 'ILL', 'INI', 'KAN', 'KTY', 'LOU', 'MAI', 'MAS', 'MIC', 'MRY', 'MSI', 'MSO', 'MXC', 'MXG', 'MXS', 'MXT', 'NCA', 'NIC', 'NWH', 'NWJ', 'NWY', 'OHI', 'OKL', 'ONT', 'PAN', 'PEN', 'RHO', 'SCA', 'TEN', 'TEX', 'VEN', 'VER', 'VRG', 'WDC', 'WVA')"
33323,Peperomia alpina,"('CLM', 'COS', 'ECU', 'GUY', 'JAM', 'PAN', 'VEN')"
33334,Otoba gracilipes,"('CLM', 'COS', 'ECU', 'PAN')"
33353,Tectaria lizarzaburui,"('BOL', 'CLM', 'ECU', 'PER', 'VEN')"
33385,Jupunba trapezifolia,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'LEE', 'PER', 'SUR', 'TRT', 'VEN', 'WIN')"
33390,Banisteriopsis elegans,"('CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXT', 'NIC', 'PAN', 'PER')"
33395,Monticalia vaccinioides,"('CLM', 'ECU', 'VEN')"
33409,Annona cordifolia,"('BOL', 'BZN', 'CLM', 'PER')"
33413,Humiriastrum melanocarpum,"('CLM',)"
33435,Brassavola cucullata,"('CLM', 'DOM', 'LEE', 'PUE', 'TRT', 'VEN', 'VNA', 'WIN')"
33437,Wurdastom bullata,"('CLM',)"
33457,Gaultheria anastomosans,"('CLM', 'VEN')"
33461,Eleocharis atropurpurea,"('AFG', 'AGE', 'AGW', 'ALA', 'ARU', 'BAH', 'BAN', 'BEN', 'BKN', 'BOL', 'BOT', 'BRC', 'BZN', 'CAF', 'CAL', 'CAY', 'CHA', 'CHC', 'CHH', 'CHN', 'CHS', 'CLM', 'COL', 'CON', 'COS', 'CUB', 'ECU', 'EHM', 'ETH', 'FLA', 'GAB', 'GAL', 'GEO', 'GHA', 'GUI', 'IND', 'IOW', 'IRN', 'IVO', 'JAM', 'JAP', 'JAW', 'KAN', 'KAZ', 'KEN', 'LOU', 'MAU', 'MDG', 'MIC', 'MLI', 'MLW', 'MNT', 'MSO', 'MTN', 'MXN', 'MXS', 'MXT', 'NAM', 'NAT', 'NCA', 'NEB', 'NEP', 'NEV', 'NGA', 'NGR', 'NIC', 'NLA', 'NTA', 'NWG', 'NWM', 'OKL', 'PAK', 'PER', 'PHI', 'QLD', 'RWA', 'SCA', 'SEN', 'SOM', 'SUD', 'SUM', 'SWZ', 'TAI', 'TAN', 'TEX', 'TOG', 'TUR', 'TVL', 'TZK', 'UGA', 'UZB', 'VEN', 'VIE', 'VRG', 'WAS', 'WAU', 'WHM', 'ZAI', 'ZAM', 'ZIM')"
33482,Geonoma interrupta,"('BLZ', 'BOL', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
33526,Geonoma multisecta,"('CLM', 'ECU')"
33534,Riparoampelos amazonicus,"('BZN', 'CLM', 'PER', 'VEN')"
33548,Huperzia taxifolia,"('BLZ', 'BOL', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FRG', 'GAL', 'GUA', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'SUR', 'VEN', 'VNA', 'WIN')"
33580,Epidryos micrantherus,"('CLM', 'ECU')"
33590,Huperzia dichaeoides,"('BLZ', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'NIC', 'PAN')"
33594,Huperzia ascendens,"('CLM', 'ECU')"
33613,Huperzia tenuis,"('BOL', 'CLM', 'COS', 'ECU', 'PAN', 'PER', 'VEN')"
33614,Elleanthus luteynii,"('CLM',)"
33618,Pilea microphylla,"('ARK', 'BAH', 'BLZ', 'BOL', 'CAY', 'CLM', 'COS', 'CUB', 'DOM', 'ELS', 'FLA', 'FRG', 'GEO', 'GUA', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'LOU', 'MSO', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NLA', 'PAN', 'PER', 'PUE', 'SCA', 'SUR', 'SWC', 'TEX', 'TRT', 'VEN', 'VNA', 'WIN')"
33625,Myrcia ishoaquinicca,"('CLM', 'ECU')"
33642,Notopleura polyphlebia,"('CLM', 'COS', 'ECU', 'NIC', 'PAN', 'PER')"
33681,Tillandsia uncispica,"('BAH', 'CLM', 'COS', 'CUB', 'DOM', 'GUA', 'HAI', 'PAN', 'WIN')"
33748,Hymenophyllum peltatum,"('AGS', 'BOL', 'BOR', 'BZL', 'BZS', 'CLC', 'CLM', 'CLS', 'CPP', 'CRZ', 'KEG', 'MAQ', 'MDG', 'MPE', 'NAT', 'NSW', 'NWG', 'NZN', 'NZS', 'OFS', 'PEI', 'PER', 'QLD', 'REU', 'RWA', 'TAN', 'TAS', 'TDC', 'UGA', 'VIC', 'ZAI')"
