,example_compound_name,InChIKey,InChIKey_simp,organism_name,accepted_name,accepted_name_w_author,accepted_species,accepted_family
2770,Quadranoside II,YCWVOSKURXIKHC-LMAUHAKTSA-N,YCWVOSKURXIKHC,Combretum quadrangulare,Combretum quadrangulare,Combretum quadrangulare Kurz,Combretum quadrangulare,Combretaceae
2766,Quadranoside III,FZEKJLLBSCAOPU-DRQLJIAESA-N,FZEKJLLBSCAOPU,Combretum quadrangulare,Combretum quadrangulare,Combretum quadrangulare Kurz,Combretum quadrangulare,Combretaceae
2771,Quadranoside IV,OEGYWKLSOORPGU-SXLQXSQGSA-N,OEGYWKLSOORPGU,Combretum quadrangulare,Combretum quadrangulare,Combretum quadrangulare Kurz,Combretum quadrangulare,Combretaceae
2783,Quadranoside V,XNXMFRGRMHPZKN-JJPABSQASA-N,XNXMFRGRMHPZKN,Combretum quadrangulare,Combretum quadrangulare,Combretum quadrangulare Kurz,Combretum quadrangulare,Combretaceae
2759,Quadranoside VIII,VOJUDERLBZKDIW-BVJLKSDVSA-N,VOJUDERLBZKDIW,Combretum quadrangulare,Combretum quadrangulare,Combretum quadrangulare Kurz,Combretum quadrangulare,Combretaceae
2682,Vitexin,SGEWCQFRYRRZDC-VPRICQMDSA-N,SGEWCQFRYRRZDC,Combretum quadrangulare,Combretum quadrangulare,Combretum quadrangulare Kurz,Combretum quadrangulare,Combretaceae
3028,Cinnamaldehyde,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,KJPRLNWUNMBNBZ,Commiphora spp.,Commiphora,Commiphora Jacq.,,Burseraceae
3038,(-)-beta-Sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,KZJWDPNRJALLNS,Commiphora confusa,Commiphora confusa,Commiphora confusa Vollesen,Commiphora confusa,Burseraceae
3039,beta-Amyrin,JFSHUTJDVKUMTJ-QHPUVITPSA-N,JFSHUTJDVKUMTJ,Commiphora confusa,Commiphora confusa,Commiphora confusa Vollesen,Commiphora confusa,Burseraceae
3073,Cabraleadiol 3-acetate,MYKPKZPRXSYQEQ-QCPMDXGFSA-N,MYKPKZPRXSYQEQ,Commiphora dalzielii,Commiphora dalzielii,Commiphora dalzielii Hutch.,Commiphora dalzielii,Burseraceae
3068,Cabraleone,XSQYWMLMQVUWSF-FXFLHSNUSA-N,XSQYWMLMQVUWSF,Commiphora dalzielii,Commiphora dalzielii,Commiphora dalzielii Hutch.,Commiphora dalzielii,Burseraceae
3041,Lupeol,MQYXUWHLBZFQQO-JGGBMTAGSA-N,MQYXUWHLBZFQQO,Commiphora dalzielii,Commiphora dalzielii,Commiphora dalzielii Hutch.,Commiphora dalzielii,Burseraceae
3040,beta-Amyrin,JFSHUTJDVKUMTJ-QHPUVITPSA-N,JFSHUTJDVKUMTJ,Commiphora dalzielii,Commiphora dalzielii,Commiphora dalzielii Hutch.,Commiphora dalzielii,Burseraceae
3053,epi-Lupeol,MQYXUWHLBZFQQO-PXGAZUHWSA-N,MQYXUWHLBZFQQO,Commiphora dalzielii,Commiphora dalzielii,Commiphora dalzielii Hutch.,Commiphora dalzielii,Burseraceae
3076,Erlangerin B,SEMJADKBFZYYKQ-VNJOCVIMSA-N,SEMJADKBFZYYKQ,Commiphora erlangeriana,Commiphora erlangeriana,Commiphora erlangeriana Engl.,Commiphora erlangeriana,Burseraceae
3046,Curzerenone,ZVMJXSJCBLRAPD-ZFWWWQNUSA-N,ZVMJXSJCBLRAPD,Commiphora opobalsamum,Commiphora gileadensis,Commiphora gileadensis (L.) C.Chr.,Commiphora gileadensis,Burseraceae
3051,Dihydropyrocurzerenone,GWQCNWWIXOLIAV-SECBINFHSA-N,GWQCNWWIXOLIAV,Commiphora opobalsamum,Commiphora gileadensis,Commiphora gileadensis (L.) C.Chr.,Commiphora gileadensis,Burseraceae
3065,Guaianediol,IWQURBSTAIRNAE-LJISPDSOSA-N,IWQURBSTAIRNAE,Commiphora opobalsamum,Commiphora gileadensis,Commiphora gileadensis (L.) C.Chr.,Commiphora gileadensis,Burseraceae
3067,Myrrhone,SHEOKDCVBGTHJG-MRVPVSSYSA-N,SHEOKDCVBGTHJG,Commiphora opobalsamum,Commiphora gileadensis,Commiphora gileadensis (L.) C.Chr.,Commiphora gileadensis,Burseraceae
3047,(+)-Bicyclogermacrene,NHWVMXZZAZDCIV-UHFFFAOYSA-N,NHWVMXZZAZDCIV,Commiphora holtziana,Commiphora kataf,Commiphora kataf (Forssk.) Engl.,Commiphora kataf,Burseraceae
3054,(-)-alpha-Selinene,OZQAPQSEYFAMCY-UHFFFAOYSA-N,OZQAPQSEYFAMCY,Commiphora holtziana,Commiphora kataf,Commiphora kataf (Forssk.) Engl.,Commiphora kataf,Burseraceae
3057,Calarene,MBIPADCEHSKJDQ-UHFFFAOYSA-N,MBIPADCEHSKJDQ,Commiphora holtziana,Commiphora kataf,Commiphora kataf (Forssk.) Engl.,Commiphora kataf,Burseraceae
3034,alpha-Caryophyllene (obsol.),FAMPSKZZVDUYOS-HRGUGZIWSA-N,FAMPSKZZVDUYOS,Commiphora holtziana,Commiphora kataf,Commiphora kataf (Forssk.) Engl.,Commiphora kataf,Burseraceae
3033,alpha-Copaene,VLXDPFLIRFYIME-ZPWMNFGTSA-N,VLXDPFLIRFYIME,Commiphora holtziana,Commiphora kataf,Commiphora kataf (Forssk.) Engl.,Commiphora kataf,Burseraceae
3052,beta-Bourbonene,YIRAHEODBQONHI-UHFFFAOYSA-N,YIRAHEODBQONHI,Commiphora holtziana,Commiphora kataf,Commiphora kataf (Forssk.) Engl.,Commiphora kataf,Burseraceae
3032,beta-Caryophyllene,NPNUFJAVOOONJE-GFUGXAQUSA-N,NPNUFJAVOOONJE,Commiphora holtziana,Commiphora kataf,Commiphora kataf (Forssk.) Engl.,Commiphora kataf,Burseraceae
3035,beta-Eudesmene,YOVSPTNQHMDJAG-QLFBSQMISA-N,YOVSPTNQHMDJAG,Commiphora holtziana,Commiphora kataf,Commiphora kataf (Forssk.) Engl.,Commiphora kataf,Burseraceae
3064,beta-Ylangene,UPVZPMJSRSWJHQ-KYRRZXGASA-N,UPVZPMJSRSWJHQ,Commiphora holtziana,Commiphora kataf,Commiphora kataf (Forssk.) Engl.,Commiphora kataf,Burseraceae
3044,delta-Cadinene,FUCYIEXQVQJBKY-UHFFFAOYSA-N,FUCYIEXQVQJBKY,Commiphora holtziana,Commiphora kataf,Commiphora kataf (Forssk.) Engl.,Commiphora kataf,Burseraceae
3050,gamma-Muurolene,WRHGORWNJGOVQY-ZNMIVQPWSA-N,WRHGORWNJGOVQY,Commiphora holtziana,Commiphora kataf,Commiphora kataf (Forssk.) Engl.,Commiphora kataf,Burseraceae
3029,Cuminal,WTWBUQJHJGUZCY-UHFFFAOYSA-N,WTWBUQJHJGUZCY,Commiphora abyssinica,Commiphora kua,Commiphora kua (R.Br. ex Royle) Vollesen,Commiphora kua,Burseraceae
3071,Mansumbinone,SCVQXPPZHIKYMJ-DHEJPUEPSA-N,SCVQXPPZHIKYMJ,Commiphora kua,Commiphora kua,Commiphora kua (R.Br. ex Royle) Vollesen,Commiphora kua,Burseraceae
3049,epi-alpha-Cadinol,LHYHMMRYTDARSZ-XQLPTFJDSA-N,LHYHMMRYTDARSZ,Commiphora kua,Commiphora kua,Commiphora kua (R.Br. ex Royle) Vollesen,Commiphora kua,Burseraceae
3025,Abietic acid,RSWGJHLUYNHPMX-ONCXSQPRSA-N,RSWGJHLUYNHPMX,Commiphora myrrha,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,Commiphora myrrha,Burseraceae
3027,Cinnamaldehyde,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,KJPRLNWUNMBNBZ,Commiphora myrrha,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,Commiphora myrrha,Burseraceae
3030,Cuminal,WTWBUQJHJGUZCY-UHFFFAOYSA-N,WTWBUQJHJGUZCY,Commiphora myrrha,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,Commiphora myrrha,Burseraceae
3074,Dehydroabietic acid,NFWKVWVWBFBAOV-MISYRCLQSA-N,NFWKVWVWBFBAOV,Commiphora myrrha,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,Commiphora myrrha,Burseraceae
3022,Eugenol,RRAFCDWBNXTKKO-UHFFFAOYSA-N,RRAFCDWBNXTKKO,Commiphora myrrha,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,Commiphora myrrha,Burseraceae
3072,Mansumbinone,SCVQXPPZHIKYMJ-DHEJPUEPSA-N,SCVQXPPZHIKYMJ,Commiphora myrrha,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,Commiphora myrrha,Burseraceae
3066,Myrrhone,SHEOKDCVBGTHJG-MRVPVSSYSA-N,SHEOKDCVBGTHJG,Commiphora myrrha,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,Commiphora myrrha,Burseraceae
3058,Sandaracopimaric acid,MHVJRKBZMUDEEV-KRFUXDQASA-N,MHVJRKBZMUDEEV,Commiphora myrrha,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,Commiphora myrrha,Burseraceae
3059,(+)-Diayangambin,HRLFUIXSXUASEX-QDGJQWLKSA-N,HRLFUIXSXUASEX,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3045,(+)-Limonene,XMGQYMWWDOXHJM-JTQLQIEISA-N,XMGQYMWWDOXHJM,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3021,(+)-Sesamin,PEYUIKBAABKQKQ-AFHBHXEDSA-N,PEYUIKBAABKQKQ,Commiphora wightii,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3031,(+-)-Linalool,CDOSHBSSFJOMGT-UHFFFAOYSA-N,CDOSHBSSFJOMGT,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3090,"(20R)-20-Acetoxy-4-pregnene-3,16-dione",JIYCHSGWJICLGK-KUKJESENSA-N,JIYCHSGWJICLGK,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3069,"(Z)-5-Tetracosene-1,2,3,4-tetraol",XABWPSCDPCHHDR-VXPUYCOJSA-N,XABWPSCDPCHHDR,Commiphora wightii,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3070,"(Z)-5-Tricosene-1,2,3,4-tetraol",RHCDVIUYKKEJAD-HNENSFHCSA-N,RHCDVIUYKKEJAD,Commiphora wightii,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3020,"1,8-Cineol",WEEGYLXZBRQIMU-WAAGHKOSSA-N,WEEGYLXZBRQIMU,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3084,20beta-Hydroxy-4-pregnen-3-one,RWBRUCCWZPSBFC-AGQAMKJVSA-N,RWBRUCCWZPSBFC,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3056,Borneol acetate,KGEKLUUHTZCSIP-UHFFFAOYSA-N,KGEKLUUHTZCSIP,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3091,"Cholest-4-ene-3,6-dione",GWOSBUGZGFVDDS-LKGWFGLDSA-N,GWOSBUGZGFVDDS,Commiphora wightii,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3036,Cholesterol,HVYWMOMLDIMFJA-DPAQBDIFSA-N,HVYWMOMLDIMFJA,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3037,Cycloartenol,ONQRKEUAIJMULO-YBXTVTTCSA-N,ONQRKEUAIJMULO,Commiphora wightii,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3075,Diasesartemin,DHWUVPPRBIJJKS-PBFVBANWSA-N,DHWUVPPRBIJJKS,Commiphora wightii,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3079,E-Guggulsterone,WDXRGPWQVHZTQJ-OSJVMJFVSA-N,WDXRGPWQVHZTQJ,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3080,E-Guggulsterone,WDXRGPWQVHZTQJ-OSJVMJFVSA-N,WDXRGPWQVHZTQJ,Commiphora wightii,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3083,Epieudesmin,PEUUVVGQIVMSAW-WWLNLUSPSA-N,PEUUVVGQIVMSAW,Commiphora wightii,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3023,Eugenol,RRAFCDWBNXTKKO-UHFFFAOYSA-N,RRAFCDWBNXTKKO,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3089,Guggulsterol Y,KQTBMRBMNBEPAZ-WPLNPXAKSA-N,KQTBMRBMNBEPAZ,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3077,Guggulsterone,WDXRGPWQVHZTQJ-AUKWTSKRSA-N,WDXRGPWQVHZTQJ,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3088,Guggulsterone M,WOVLRQSWILBDQL-IABMEBKLSA-N,WOVLRQSWILBDQL,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3078,Mangiferolic acid,CYHOTEDWAOHQLA-HCJSCJCOSA-N,CYHOTEDWAOHQLA,Commiphora wightii,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3086,Methylheptanone,RHLVCLIPMVJYKS-UHFFFAOYSA-N,RHLVCLIPMVJYKS,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3087,Mukulol,HVZNIISBCURSMR-ALFIBICVSA-N,HVZNIISBCURSMR,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3048,Muscanone,ILVMIKCIKCNGTE-UHFFFAOYSA-N,ILVMIKCIKCNGTE,Commiphora wightii,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3060,Myrrhanol A,KKOJENOIJUTRDK-FHILKHTASA-N,KKOJENOIJUTRDK,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3061,Myrrhanol B,XKZRMBOWVKGAPH-LPOKTJNISA-N,XKZRMBOWVKGAPH,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3062,Myrrhanone A,DRLJOZRXEKMJSC-LLCOEGNBSA-N,DRLJOZRXEKMJSC,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3063,Myrrhanone B,RLNHWDNOTXLOJQ-GGMVLGEZSA-N,RLNHWDNOTXLOJQ,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3026,Pelargonin,DIRROHKULXIUCB-DHJOXOLYSA-N,DIRROHKULXIUCB,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3042,Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,REFJWTPEDVJJIY,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3043,Quercetin 3-O-alpha-L-rhamnoside,OXGUCUVFOIWWQJ-HQBVPOQASA-N,OXGUCUVFOIWWQJ,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3081,Z-Guggulsterone,WDXRGPWQVHZTQJ-OSJVMJFVSA-N,WDXRGPWQVHZTQJ,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3082,Z-Guggulsterone,WDXRGPWQVHZTQJ-OSJVMJFVSA-N,WDXRGPWQVHZTQJ,Commiphora wightii,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3024,alpha-Pinene,GRWFGVWFFZKLTI-UHFFFAOYSA-N,GRWFGVWFFZKLTI,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3055,alpha-Terpineol,WUOACPNHFRMFPN-VIFPVBQESA-N,WUOACPNHFRMFPN,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
3085,d-alpha-Phellandrene,OGLDWXZKYODSOB-JTQLQIEISA-N,OGLDWXZKYODSOB,Commiphora mukul,Commiphora wightii,Commiphora wightii (Arn.) Bhandari,Commiphora wightii,Burseraceae
1463,Calystegin B2,FXFBVZOJVHCEDO-NMACYSKISA-N,FXFBVZOJVHCEDO,Convolvulus spp.,Convolvulus,Convolvulus L.,,Convolvulaceae
1469,Convolvine,HDLNHIIKSUHARQ-UHFFFAOYSA-N,HDLNHIIKSUHARQ,Convolvulus spp.,Convolvulus,Convolvulus L.,,Convolvulaceae
1457,Calystegin A3,XOCBOVUINUHZJA-RKXXOXFUSA-N,XOCBOVUINUHZJA,Convolvulus arvensis L,Convolvulus arvensis,Convolvulus arvensis L.,Convolvulus arvensis,Convolvulaceae
1462,Calystegin B2,FXFBVZOJVHCEDO-NMACYSKISA-N,FXFBVZOJVHCEDO,Convolvulus arvensis L,Convolvulus arvensis,Convolvulus arvensis L.,Convolvulus arvensis,Convolvulaceae
1483,Calystegine A5,AXSWEYXUHSNDLV-JRTVQGFMSA-N,AXSWEYXUHSNDLV,Convolvulus arvensis L,Convolvulus arvensis,Convolvulus arvensis L.,Convolvulus arvensis,Convolvulaceae
1479,Calystegine B1,BQFFLYRIKODYEN-CXNFULCWSA-N,BQFFLYRIKODYEN,Convolvulus arvensis,Convolvulus arvensis,Convolvulus arvensis L.,Convolvulus arvensis,Convolvulaceae
1482,Calystegine B3,FXFBVZOJVHCEDO-IECVIRLLSA-N,FXFBVZOJVHCEDO,Convolvulus arvensis L,Convolvulus arvensis,Convolvulus arvensis L.,Convolvulus arvensis,Convolvulaceae
1484,Calystegine B4,FXFBVZOJVHCEDO-BNWJMWRWSA-N,FXFBVZOJVHCEDO,Convolvulus arvensis L,Convolvulus arvensis,Convolvulus arvensis L.,Convolvulus arvensis,Convolvulaceae
1471,Tropine,CYHOMWAPJJPNMW-UHFFFAOYSA-N,CYHOMWAPJJPNMW,Convolvulus arvensis,Convolvulus arvensis,Convolvulus arvensis L.,Convolvulus arvensis,Convolvulaceae
1456,Calystegin A3,XOCBOVUINUHZJA-RKXXOXFUSA-N,XOCBOVUINUHZJA,Convolvulus caput-medusae Lowe,Convolvulus caput-medusae,Convolvulus caput-medusae Lowe,Convolvulus caput-medusae,Convolvulaceae
1461,Calystegin B2,FXFBVZOJVHCEDO-NMACYSKISA-N,FXFBVZOJVHCEDO,Convolvulus caput-medusae Lowe,Convolvulus caput-medusae,Convolvulus caput-medusae Lowe,Convolvulus caput-medusae,Convolvulaceae
1478,Calystegine B1,BQFFLYRIKODYEN-CXNFULCWSA-N,BQFFLYRIKODYEN,Convolvulus caput-medusae Lowe,Convolvulus caput-medusae,Convolvulus caput-medusae Lowe,Convolvulus caput-medusae,Convolvulaceae
1458,Calystegin A3,XOCBOVUINUHZJA-RKXXOXFUSA-N,XOCBOVUINUHZJA,Convolvulus cneorum L.,Convolvulus cneorum,Convolvulus cneorum L.,Convolvulus cneorum,Convolvulaceae
1460,Calystegin B2,FXFBVZOJVHCEDO-NMACYSKISA-N,FXFBVZOJVHCEDO,Convolvulus cneorum L.,Convolvulus cneorum,Convolvulus cneorum L.,Convolvulus cneorum,Convolvulaceae
1480,Calystegine B1,BQFFLYRIKODYEN-CXNFULCWSA-N,BQFFLYRIKODYEN,Convolvulus cneorum L.,Convolvulus cneorum,Convolvulus cneorum L.,Convolvulus cneorum,Convolvulaceae
1466,Convolamine,AEFPCFUCFQBXDQ-UHFFFAOYSA-N,AEFPCFUCFQBXDQ,Convolvulus subhirsutus,Convolvulus dorycnium subsp. subhirsutus,Convolvulus dorycnium subsp. subhirsutus (Regel & Schmalh.) Sa'ad,Convolvulus dorycnium,Convolvulaceae
1468,Convolvine,HDLNHIIKSUHARQ-UHFFFAOYSA-N,HDLNHIIKSUHARQ,Convolvulus subhirsutus Rgl.et Schmalh.,Convolvulus dorycnium subsp. subhirsutus,Convolvulus dorycnium subsp. subhirsutus (Regel & Schmalh.) Sa'ad,Convolvulus dorycnium,Convolvulaceae
1470,Phyllalbine,OZKTVDIYALBSMA-UHFFFAOYSA-N,OZKTVDIYALBSMA,Convolvulus subhirsutus,Convolvulus dorycnium subsp. subhirsutus,Convolvulus dorycnium subsp. subhirsutus (Regel & Schmalh.) Sa'ad,Convolvulus dorycnium,Convolvulaceae
1454,Cuscohygrine,ZEBIACKKLGVLFZ-UHFFFAOYSA-N,ZEBIACKKLGVLFZ,Convolvulus erinaceus,Convolvulus erinaceus,Convolvulus erinaceus Ledeb.,Convolvulus erinaceus,Convolvulaceae
1467,Convoline,QKXIPWXFQDIWOM-UHFFFAOYSA-N,QKXIPWXFQDIWOM,Convolvulus krauseanus,Convolvulus krauseanus,Convolvulus krauseanus Regel & Schmalh.,Convolvulus krauseanus,Convolvulaceae
1465,Convolamine,AEFPCFUCFQBXDQ-UHFFFAOYSA-N,AEFPCFUCFQBXDQ,Convolvulus lineatus,Convolvulus lineatus,Convolvulus lineatus L.,Convolvulus lineatus,Convolvulaceae
1225,Delphin,XCTGXGVGJYACEI-LCENJUANSA-O,XCTGXGVGJYACEI,Evolvulus pilosus,Convolvulus prostratus,Convolvulus prostratus Forssk.,Convolvulus prostratus,Convolvulaceae
1464,Convolamine,AEFPCFUCFQBXDQ-UHFFFAOYSA-N,AEFPCFUCFQBXDQ,Convolvulus pseudocantabricus,Convolvulus pseudocantabrica,Convolvulus pseudocantabrica Schrenk ex Fisch. & C.A.Mey.,Convolvulus pseudocantabrica,Convolvulaceae
1455,Calystegin A3,XOCBOVUINUHZJA-RKXXOXFUSA-N,XOCBOVUINUHZJA,Convolvulus sabatius ssp.mauritanicus,Convolvulus sabatius subsp. mauritanicus,Convolvulus sabatius subsp. mauritanicus (Boiss.) Murb.,Convolvulus sabatius,Convolvulaceae
1459,Calystegin B2,FXFBVZOJVHCEDO-NMACYSKISA-N,FXFBVZOJVHCEDO,Convolvulus sabatius ssp.mauritanicus,Convolvulus sabatius subsp. mauritanicus,Convolvulus sabatius subsp. mauritanicus (Boiss.) Murb.,Convolvulus sabatius,Convolvulaceae
1481,Calystegine B1,BQFFLYRIKODYEN-CXNFULCWSA-N,BQFFLYRIKODYEN,Convolvulus sabatius ssp.mauritanicus,Convolvulus sabatius subsp. mauritanicus,Convolvulus sabatius subsp. mauritanicus (Boiss.) Murb.,Convolvulus sabatius,Convolvulaceae
1472,Scopoletin,RODXRVNMMDRFIK-UHFFFAOYSA-N,RODXRVNMMDRFIK,Convolvulus scammonia,Convolvulus scammonia,Convolvulus scammonia L.,Convolvulus scammonia,Convolvulaceae
1485,Consabatine,JMHTUVBKARXGPJ-HLVUACMISA-N,JMHTUVBKARXGPJ,Convolvulus siculus ssp.mauritanicus,Convolvulus siculus,Convolvulus siculus L.,Convolvulus siculus,Convolvulaceae
1486,Consiculine,YNZLEIVXMIJPPH-UHFFFAOYSA-N,YNZLEIVXMIJPPH,Convolvulus siculus,Convolvulus siculus,Convolvulus siculus L.,Convolvulus siculus,Convolvulaceae
1674,Mycosinol,FZRGCIPZQGXDCM-IZZDOVSWSA-N,FZRGCIPZQGXDCM,Santalina oblongifolia,Coptosperma,Coptosperma Hook.f.,,Rubiaceae
3384,"5,6,7,8-Tetramethoxy-3',4'-methylenedioxyisoflavone",HWBCSFORKNCICS-UHFFFAOYSA-N,HWBCSFORKNCICS,Cordia africana,Cordia africana,Cordia africana Lam.,Cordia africana,Boraginaceae
3383,"6,7,2',4',5'-Pentamethoxyisoflavone",ADVSBKKAOLGTQF-UHFFFAOYSA-N,ADVSBKKAOLGTQF,Cordia africana,Cordia africana,Cordia africana Lam.,Cordia africana,Boraginaceae
3380,"6,7,3',4'-Tetramethoxyisoflavone",OYSKBZHHLYECLU-UHFFFAOYSA-N,OYSKBZHHLYECLU,Cordia africana,Cordia africana,Cordia africana Lam.,Cordia africana,Boraginaceae
3382,"6,7,3'-Trimethoxy-4',5'-methylenedioxyisoflavone",BEWUEWUDIYSCEX-UHFFFAOYSA-N,BEWUEWUDIYSCEX,Cordia africana,Cordia africana,Cordia africana Lam.,Cordia africana,Boraginaceae
3379,"6-Hydroxy-7,2'-dimethoxy-4',5'-methylenedioxyisoflavone",XYFYMIVHOFOGRO-UHFFFAOYSA-N,XYFYMIVHOFOGRO,Cordia africana,Cordia africana,Cordia africana Lam.,Cordia africana,Boraginaceae
3378,Fujikinetin methyl ether,ABOSSEFROBUJKH-UHFFFAOYSA-N,ABOSSEFROBUJKH,Cordia africana,Cordia africana,Cordia africana Lam.,Cordia africana,Boraginaceae
3381,Milldurone,INHRJYBOMHQVBR-UHFFFAOYSA-N,INHRJYBOMHQVBR,Cordia africana,Cordia africana,Cordia africana Lam.,Cordia africana,Boraginaceae
3401,Cordiaquinol C,SQXTYAWGCAPKAP-LBDPXKHJSA-N,SQXTYAWGCAPKAP,Cordia alliodora,Cordia alliodora,Cordia alliodora (Ruiz & Pav.) Oken,Cordia alliodora,Boraginaceae
3367,Geranylbenzoquinone,GAJSCEURGWVNBZ-NTUHNPAUSA-N,GAJSCEURGWVNBZ,Cordia alliodora,Cordia alliodora,Cordia alliodora (Ruiz & Pav.) Oken,Cordia alliodora,Boraginaceae
3376,Hesperetin 7-O-rhamnoside,SVQOEFMFPWOSRE-QOUZSUJOSA-N,SVQOEFMFPWOSRE,Cordia obliqua,Cordia dichotoma,Cordia dichotoma G.Forst.,Cordia dichotoma,Boraginaceae
3377,"Taxifolin 3,5-dirhamnoside",HNGQRZNIKUQHDQ-BWYOJBFMSA-N,HNGQRZNIKUQHDQ,Cordia obliqua,Cordia dichotoma,Cordia dichotoma G.Forst.,Cordia dichotoma,Boraginaceae
3364,Geranylhydroquinone,ZSCRTFONTNMQBL-NTUHNPAUSA-N,ZSCRTFONTNMQBL,Cordia eleagnoides,Cordia elaeagnoides,Cordia elaeagnoides A.DC.,Cordia elaeagnoides,Boraginaceae
3397,Cordiachrome A,GXIJLOWPICPBSR-BBRMVZONSA-N,GXIJLOWPICPBSR,Cordia fragrantissima,Cordia fragrantissima,Cordia fragrantissima Kurz,Cordia fragrantissima,Boraginaceae
3398,Cordiachrome B,BJEHSIIPDRQCJK-BBRMVZONSA-N,BJEHSIIPDRQCJK,Cordia fragrantissima,Cordia fragrantissima,Cordia fragrantissima Kurz,Cordia fragrantissima,Boraginaceae
3399,Cordiachrome C,KZWBZRSKUWXBGO-BBRMVZONSA-N,KZWBZRSKUWXBGO,Cordia fragrantissima,Cordia fragrantissima,Cordia fragrantissima Kurz,Cordia fragrantissima,Boraginaceae
